지역,연봉,기업수
kyung-41,3800만 이상,0 
kyung-41,4000만 이상,0 
kyung-41,5000만 이상,0 
kyung-41,6000만 이상,0 
kyung-41,7000만 이상,0 
kyung-41,8000만 이상,0 
kyung-42,2400만 이상,4 
kyung-42,2600만 이상,4 
kyung-42,2800만 이상,4 
kyung-42,3000만 이상,4 
kyung-42,3200만 이상,3 
kyung-42,3400만 이상,3 
kyung-42,3600만 이상,3 
kyung-42,3800만 이상,2 
kyung-42,4000만 이상,1 
kyung-42,5000만 이상,1 
kyung-42,6000만 이상,0 
kyung-42,7000만 이상,0 
